title,artist,top genre,year released,added,dnce,val,dur,pop,artist type
STARSTRUKK (feat. Katy Perry),3OH!3,dance pop,2009,2022‑02‑17,61,23,203,70,Duo
My First Kiss (feat. Ke$ha),3OH!3,dance pop,2010,2022‑02‑17,68,83,192,68,Duo
I Need A Dollar,Aloe Blacc,pop soul,2010,2022‑02‑17,84,96,243,72,Solo
Airplanes (feat. Hayley Williams of Paramore),B.o.B,atl hip hop,2010,2022‑02‑17,66,38,180,80,Solo
Nothin' on You (feat. Bruno Mars),B.o.B,atl hip hop,2010,2022‑02‑17,69,74,268,79,Solo
Magic (feat. Rivers Cuomo),B.o.B,atl hip hop,2010,2022‑02‑17,55,79,196,71,Solo
The Time (Dirty Bit),Black Eyed Peas,dance pop,2010,2022‑02‑17,82,44,308,75,Band/Group
Imma Be,Black Eyed Peas,dance pop,2009,2022‑02‑17,60,41,258,71,Band/Group
Talking to the Moon,Bruno Mars,dance pop,2010,2022‑02‑17,50,8,218,87,Solo
Just the Way You Are,Bruno Mars,dance pop,2010,2022‑02‑17,64,42,221,86,Solo
Teach Me How to Dougie,Cali Swag District,pop rap,2011,2022‑02‑17,85,51,237,71,Band/Group
Forget You,CeeLo Green,atl hip hop,2010,2022‑02‑17,70,77,223,69,Solo
Deuces (feat. Tyga & Kevin McCall),Chris Brown,dance pop,2011,2022‑02‑17,69,22,277,74,Solo
Memories (feat. Kid Cudi),David Guetta,big room,2009,2022‑02‑17,56,50,210,74,Solo
Gettin' Over You (feat. Fergie & LMFAO),David Guetta,big room,2009,2022‑02‑17,62,45,188,55,Solo
"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",DJ Khaled,dance pop,2010,2022‑02‑17,54,28,233,55,Solo
Over,Drake,canadian hip hop,2010,2022‑02‑17,35,45,234,72,Solo
Find Your Love,Drake,canadian hip hop,2010,2022‑02‑17,63,76,209,70,Solo
Barbra Streisand (Radio Edit),Duck Sauce,disco house,2010,2022‑02‑17,76,46,195,61,Duo
Stereo Love - Radio Edit,Edward Maya,romanian house,2010,2022‑02‑17,80,59,185,71,Solo
Pack Up,Eliza Doolittle,lilith,2010,2022‑02‑17,67,87,191,46,Solo
Starry Eyed,Ellie Goulding,dance pop,2010,2022‑02‑17,50,60,177,59,Solo
Love The Way You Lie,Eminem,detroit hip hop,2010,2022‑02‑17,75,64,263,87,Solo
Not Afraid,Eminem,detroit hip hop,2010,2022‑02‑17,86,67,248,85,Solo
I Like It,Enrique Iglesias,dance pop,2010,2022‑02‑17,65,70,232,71,Solo
Kickstarts,Example,dance pop,2010,2022‑02‑17,61,66,182,69,Solo
Like A G6,Far East Movement,asian american hip hop,2010,2022‑02‑17,44,78,217,75,Band/Group
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,2022‑02‑17,62,47,235,81,Solo
Hot - Malibu Breeze Radio Edit,INNA,dance pop,2010,2022‑02‑17,81,51,224,43,Solo
Replay,Iyaz,dance pop,2009,2022‑02‑17,71,20,182,78,Solo
Whatcha Say,Jason Derulo,dance pop,2010,2022‑02‑17,62,71,221,72,Solo
Ridin' Solo,Jason Derulo,dance pop,2010,2022‑02‑17,44,58,216,70,Solo
In My Head,Jason Derulo,dance pop,2010,2022‑02‑17,76,85,199,67,Solo
Down,Jay Sean,dance pop,2009,2022‑02‑17,73,73,213,83,Solo
Do You Remember,Jay Sean,dance pop,2009,2022‑02‑17,85,82,211,74,Solo
Young Forever,JAY-Z,east coast hip hop,2009,2022‑02‑17,64,10,254,71,Solo
Heartbreak Warfare,John Mayer,neo mellow,2009,2022‑02‑17,62,31,270,69,Solo
Half of My Heart,John Mayer,neo mellow,2009,2022‑02‑17,68,73,250,68,Solo
Baby,Justin Bieber,canadian pop,2010,2022‑02‑17,73,54,214,86,Solo
California Gurls,Katy Perry,dance pop,2012,2022‑02‑17,79,43,235,78,Solo
Teenage Dream,Katy Perry,dance pop,2010,2022‑02‑17,72,59,228,76,Solo
Commander,Kelly Rowland,atl hip hop,2011,2022‑02‑17,40,57,218,54,Solo
TiK ToK,Kesha,dance pop,2010,2022‑02‑17,76,71,200,86,Solo
Your Love Is My Drug,Kesha,dance pop,2010,2022‑02‑17,83,76,187,75,Solo
Take It Off,Kesha,dance pop,2010,2022‑02‑17,73,74,215,74,Solo
Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010,2022‑02‑17,75,52,172,67,Solo
Wavin' Flag,K'NAAN,reggae fusion,2009,2022‑02‑17,63,72,221,63,Solo
Live Like We're Dying,Kris Allen,idol,2009,2022‑02‑17,59,94,213,57,Solo
Bad Romance,Lady Gaga,art pop,2009,2022‑02‑17,70,71,295,86,Solo
Telephone,Lady Gaga,art pop,2009,2022‑02‑17,82,72,221,75,Solo
Alejandro,Lady Gaga,art pop,2009,2022‑02‑17,62,36,274,72,Solo
Right Above It,Lil Wayne,hip hop,2010,2022‑02‑17,38,46,272,74,Solo
My Chick Bad,Ludacris,atl hip hop,2010,2022‑02‑17,62,76,217,73,Solo
How Low,Ludacris,atl hip hop,2010,2022‑02‑17,79,42,202,68,Solo
Misery,Maroon 5,pop,2010,2022‑02‑17,70,73,216,70,Band/Group
When We Collide,Matt Cardle,talent show,2011,2022‑02‑17,44,45,226,52,Solo
Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,2022‑02‑17,77,63,213,81,Solo
Can't Be Tamed,Miley Cyrus,dance pop,2010,2022‑02‑17,63,74,168,69,Solo
Animal,Neon Trees,modern alternative rock,2010,2022‑02‑17,48,74,212,76,Band/Group
Fireflies,Owl City,indietronica,2009,2022‑02‑17,51,47,228,84,Band/Group
She Said,Plan B,grime,2010,2022‑02‑17,72,83,211,39,Duo
Only Girl (In The World),Rihanna,barbadian pop,2010,2022‑02‑17,79,64,235,82,Solo
Rude Boy,Rihanna,barbadian pop,2009,2022‑02‑17,56,81,223,80,Solo
What's My Name?,Rihanna,barbadian pop,2010,2022‑02‑17,69,56,263,75,Solo
Man Down,Rihanna,barbadian pop,2010,2022‑02‑17,48,54,267,65,Solo
Hard,Rihanna,barbadian pop,2009,2022‑02‑17,31,16,251,60,Solo
Dancing On My Own - Radio Edit,Robyn,art pop,2010,2022‑02‑17,57,22,278,65,Solo
King of Anything,Sara Bareilles,acoustic pop,2010,2022‑02‑17,68,81,207,66,Solo
This Ain't a Love Song,Scouting For Girls,dance pop,2017,2022‑02‑17,46,55,211,58,Band/Group
Eenie Meenie,Sean Kingston,dance pop,2020,2022‑02‑17,73,84,202,72,Solo
Riverside,Sidney Samson,dutch house,2009,2022‑02‑17,80,29,321,42,Solo
Alors on danse - Radio Edit,Stromae,belgian pop,2010,2022‑02‑17,79,71,206,83,Solo
Stuck Like Glue,Sugarland,contemporary country,2010,2022‑02‑17,70,84,248,73,Duo
One - Radio Edit,Swedish House Mafia,dance pop,2010,2022‑02‑17,80,62,170,62,Band/Group
Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah,Swedish House Mafia,dance pop,2010,2022‑02‑17,74,66,206,52,Band/Group
Dynamite,Taio Cruz,dance pop,2010,2022‑02‑17,75,82,203,85,Solo
Break Your Heart,Taio Cruz,dance pop,2010,2022‑02‑17,61,57,202,79,Solo
The Flood,Take That,boy band,2010,2022‑02‑17,51,14,289,63,Band/Group
Back To December,Taylor Swift,pop,2010,2022‑02‑17,53,29,293,71,Solo
Mine,Taylor Swift,pop,2010,2022‑02‑17,62,66,231,70,Solo
Today Was A Fairytale,Taylor Swift,pop,2011,2022‑02‑17,49,34,242,56,Solo
If I Die Young,The Band Perry,contemporary country,2010,2022‑02‑17,61,36,223,74,Band/Group
For the First Time,The Script,celtic rock,2011,2022‑02‑17,40,36,253,66,Band/Group
All Time Low,The Wanted,boy band,2010,2022‑02‑17,69,79,205,63,Band/Group
Seek Bromance (Avicii Vocal Edit),Tim Berg,edm,2010,2022‑02‑17,49,55,201,55,Solo
Carry Out (Featuring Justin Timberlake),Timbaland,dance pop,2009,2022‑02‑17,53,27,232,74,Solo
If We Ever Meet Again (Featuring Katy Perry),Timbaland,dance pop,2009,2022‑02‑17,65,39,293,74,Solo
Pass Out,Tinie Tempah,dance pop,2010,2022‑02‑17,69,53,268,51,Solo
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2010,2022‑02‑17,62,30,208,51,Solo
"Hey, Soul Sister",Train,dance pop,2010,2022‑02‑17,67,80,217,87,Band/Group
Billionaire (feat. Bruno Mars),Travie McCoy,dance pop,2010,2022‑02‑17,63,66,211,77,Solo
Bottoms Up (feat. Nicki Minaj),Trey Songz,dance pop,2010,2022‑02‑17,84,33,242,78,Solo
Say Aah (feat. Fabolous),Trey Songz,dance pop,2009,2022‑02‑17,72,81,208,68,Solo
